57ac1fcb-aeec-4f6e-8f70-b5797299fcde,2019-3-2,2019-3-2,Santa Barbara Hat Tournament
97adebff-54d7-4893-a9fc-28d9ac515291,2022-10-15,2022-10-15,2022 Berlin Fall Hat
488fbc68-6e8c-4ab8-9377-3abd37f1e864,2013-9-27,2013-9-29,2013 Alpenbrise - Munich Wies'n Jam
efee25f0-79d0-4615-9ff8-47a56be389b9,2019-9-13,2019-9-13,2019 World Urban Games
b85b0dfa-6273-4bd1-b564-3f60d7adbb62,2013-7-6,2013-7-6,Swedish Freestyle Championships
6bda8312-586c-444e-a927-65fed3da0be1,2015-8-29,2015-8-29,2015 Butch Cassidy Cup
7d4c2c13-e8d4-4dbf-ba63-670b804bbec3,2020-1-4,2020-1-4,In den Hallen 2020
d386b9fb-811b-4952-a7f3-e4c855a1e301,2025-05-02,2025-05-03,Berlin Spring Hat 2025
659781b9-586e-4a03-bb26-ce88a812fd5b,2018-9-15,2018-9-15,123 Four Seasons Hat Tournament - Summer 2018 Edition
16f70026-29fc-4497-a333-1d83840e763a,2013-8-16,2013-8-18,2013 Sandslash
3d13522b-ac22-4efa-929a-5227c1f31868,2017-9-29,2017-10-1,2017 24a Coppa Città di Milano
e0a2b127-0b3e-4f6e-a159-a5415f9f0465,2013-7-22,2013-7-27,2013 WFDF
6f3940a9-95ca-461c-84fe-ce0ce4ae7b9f,2025-04-26,2025-04-27,VirginiaStates2025
55d5bf41-b6a2-4e18-8e2d-2909d7827535,2013-10-19,2013-10-20,2013 Beach Stylers
9ab70e85-a152-4b21-9b82-d475e7b8a421,2017-6-9,2011-6-17,American Freestyle Open
42705474-9182-4930-b15d-4c4068f7d6d5,2016-3-4,2016-3-6,2016 Frisbeer Cup - Mixed Pairs
10aa37d5-a606-4765-b6cc-307c4aba85bb,2019-2-23,2019-2-23,123 Four Seasons Hat Tournament - Edition Winter 2019
8674ab2d-bf47-4f5c-931c-24ae11d6115e,2019-8-12,2019-8-12,JFDA - All Japan
2650632b-c89c-4add-a420-cbeff8d90809,2018-7-14,2018-7-14,2018 Amsterjam
c5bb2d67-62d7-4304-9aa9-23f7c044f261,2013-5-11,2013-5-12,1234 Seasons Hat Tournament
07369f2f-157d-4d7e-82e1-d992444cfeb7,2023-04-22,2023-04-22,Ryan Simple
ebd67ff8-e9c1-40a4-9a69-5e040122afca,2018-6-16,2018-6-16,FICO Frisbee Italian Championship
54591893-6634-408c-aeec-f27e0f517980,2016-10-23,2016-10-23,AIFDA Laguna Beach
365ef8f8-9b27-4da3-b8ea-633f10241ad8,2023-01-13,2023-01-15,Juntos es Mejor 2023
5abd4dcc-10bb-4f11-b776-635065224d3c,2019-8-10,2019-8-10,Cranbury Jam 3
115fd5f9-2172-4f6f-9b37-4a63835f27b8,2016-7-2,2016-7-2,2016 Potlatch
b0a1cdd3-4e3f-404a-84b5-4afb0101cf5f,2013-6-20,2013-6-23,2013 - Rock The Sky Overall
5a62ed16-376a-42c3-81d0-c038993b7de8,2019-7-8,2019-7-8,WFDF
c811a964-aea2-4c72-86cc-9a45b211e3cd,2024-07-28,2024-07-28,Amsterjam 2024
ce5b08a6-bc75-4625-bb6a-9ea09bea81fa,2023-10-29,2023-10-29,Aichi Flyng Disc
c9ad30cd-6160-431a-a5b3-47469c1322de,2018-7-26,2018-7-26,2018 European Freestyledisc Championships
04f6eed8-e880-4a13-8a9d-5e9430d0ab40,2016-6-11,2012-6-16,Udine Frisbee Tournament
90c84772-1373-4d18-a3fb-7689477b67ff,2018-4-28,2018-4-28,2018 Virginia States
5979a5a6-691e-492c-ae63-7a8aafb133a0,2013-9-7,2013-9-8,2013 Spiritcamp
9e4141de-717b-41dd-a578-3ff531410564,2015-4-18,2015-4-19,2015 VA States
7f3fc371-4431-4b31-9bef-75bc92a9ecda,2016-10-7,2016-10-7,2016 Anzio Jam
cc76c1de-99c9-4cb7-9422-1066a00d5c14,2017-5-27,2017-5-28,2017 The Jammers
1a17d668-f65d-4f10-9ca8-984e3f734c3e,2015-6-20,2015-6-21,2015 Bollenhut
0cb2b1fc-91cf-4728-906e-e3355caa3221,2013-9-28,2013-9-28,2013 Anzio Hat Tournament
57b21e99-db95-4d0a-a094-1c6f183ea8cd,2024-10-19,2024-10-19,Ilka's Birthday Hat Tournament 2024
648902b0-23e9-4de0-ae78-5bd35a53bc60,2018-10-12,2018-10-12,Ilkas and Grafs Birthday Hat
59ca2275-1caa-452b-99ca-222d65266bfa,2018-5-26,2018-5-26,2018 The Jammers
102097e0-1660-4ac0-a9a6-cdee0b10ac2a,2017-5-27,2017-5-27,123four-Seasons-Hat-Tournament - Edition Spring 2017
4496f938-81e0-4e13-b87c-34ca14e373a5,2014-11-14,2014-11-16,2014 - American Freestyle Open
156aa271-bc71-4496-839e-fd83114e8e7d,2015-5-17,2015-5-17,The Jammers
0318260a-6c0b-462d-8adf-6ec623d1f25b,2016-10-14,2016-10-14,Ilka’s & Dr.NoZ’s Birthday Clash
2f5b958c-c25e-45a7-8938-a56f074ab0be,2013-4-27,2013-4-28,2013 EFC
b7fbe57a-d15f-4a6d-a150-a0fff0f43eee,2025-01-11,2025-01-11,Gran Jam 2025
f1e64b7a-8a88-4d2b-b6e2-922ad07daab9,2016-9-25,2016-9-25,2016 Wies’n Jam (Oktoberfest Jam)
29be8242-4a65-4145-92a1-a7c96c163190,2018-6-29,2018-6-29,2018 Dolomites Disc Tournament
ba551658-7010-4b75-8d14-193d0681c117,2023-10-08,2023-10-08,Gamagori Flying Disc Fest
0f5362b0-39d3-4035-a6f4-170354e1fc8e,2016-1-9,2016-1-10,2016 In den Hallen
11ab58ce-02f4-455f-82d8-7bfe8a14416a,2019-4-27,2019-4-27,123 Four Seasons Hat Tournament - Edition Spring 2019
e9dabbc5-411b-4713-9710-08c7e6845ecc,2019-7-6,2019-7-6,Roseto Tournament
ec71b921-638a-486d-9c58-0697e73f2ae4,2019-11-16,2019-11-16,2019 Jam Brittannia
8af2e388-2df8-48cc-b1d9-f44774f27283,2025-06-14,2025-06-15,Shred and Ride 2025
ce0b9d81-340f-4271-9274-d9ccfd9065f8,2018-5-26,2018-5-26,2018 Kova #4 Tournament 2018 (Spring Edition)
7c511592-d38d-4ccc-b9bf-cda89f4f5fa6,2016-8-3,2006-8-16,2016 FPAW
