985,2004-07-07,2004-07-10,"2004 Swedisc Open",2004-swedisc-open
986,1978-05-27,1978-05-28,"1978 Wham-O! I.F.A. North American Series : Philadelphia",1978-wham-o-i-f-a-north-american-series-philadelphia
987,1978-04-14,1978-04-16,"1978 United Kingdom Frisbee Association",1978-united-kingdom-frisbee-association
988,2004-10-30,2004-10-31,"2004 29th Annual Arizona States Freestyle and Overall Tournament",2004-29th-annual-arizona-states-freestyle-and-overall-tournament
989,2004-08-27,2004-08-27,"2004 Super Beach Bowl - $1,500 in cash prizes",2004-super-beach-bowl-1500-in-cash-prizes
990,2004-06-26,2004-06-26,"2004 The Narragansett Beach Jam",2004-the-narragansett-beach-jam
991,2005-07-29,2005-07-31,"2005 FPA World Freestyle Frisbee Championships",2005-fpa-world-freestyle-frisbee-championships
992,2004-09-18,2004-09-19,"2004 Tennessee State's Overall",2004-tennessee-states-overall
993,2004-07-23,2004-07-25,"2004 New England Overall Flying Disc Championships",2004-new-england-overall-flying-disc-championships
994,2004-10-23,2004-10-23,"2004 Romashred Tournament",2004-romashred-tournament
995,2005-07-15,2005-07-17,"2005 Santa Cruz Open",2005-santa-cruz-open
996,2005-09-24,2005-09-25,"2005 30th Tennessee State Flying Disc Championships",2005-30th-tennessee-state-flying-disc-championships
997,2005-04-02,2005-04-03,"2005 German Indoor Freestyle Championships",2005-german-indoor-freestyle-championships
998,1997-01-18,1997-01-19,"1997 New Zealand Flying Disc Championships",1997-new-zealand-flying-disc-championships
999,1997-02-16,1997-02-16,"1997 Wintertime Open",1997-wintertime-open
1000,1994-06-04,1994-06-05,"1994 Maine States",1994-maine-states
1001,1994-06-11,1994-06-12,"1994 Northwest Championships",1994-northwest-championships
1002,1994-06-11,1994-06-12,"1994 California State Championships",1994-california-state-championships
1003,1994-06-12,1994-06-17,"1994 Masters Championships",1994-masters-championships
1004,1994-06-17,1994-06-18,"1994 Swedish Qualification Tournament",1994-swedish-qualification-tournament
1005,1994-06-18,1994-06-18,"1994 Minnesota States",1994-minnesota-states
1006,1994-07-04,1994-07-04,"1994 Florida State Beach Freestyle Championships",1994-florida-state-beach-freestyle-championships
1007,1994-06-25,1994-06-26,"1994 Connecticut States",1994-connecticut-states
1008,1997-04-13,1997-04-13,"1997 VA States",1997-va-states
1009,1997-04-26,1997-04-26,"1997 Rhode Island States",1997-rhode-island-states
1010,2005-01-22,2005-01-23,"2005 The U.S. Indoor Championships",2005-the-u-s-indoor-championships
1011,2005-07-23,2005-07-24,"2005 Seaside SuperHein",2005-seaside-superhein
1012,2005-06-27,2005-07-01,"2005 WFDF World Overall Championships",2005-wfdf-world-overall-championships
1013,2005-11-12,2005-11-13,"2005 30th Annual Arizona State Freestyle/Overall",2005-30th-annual-arizona-state-freestyleoverall
1014,1994-07-08,1994-07-10,"1994 Finnish National Championships",1994-finnish-national-championships
1015,1994-07-10,1994-07-10,"1994 Washington States",1994-washington-states
1016,2005-02-05,2005-02-06,"2005 Scandia Land Freestyle Disc Tournament",2005-scandia-land-freestyle-disc-tournament
1017,1997-05-25,1997-05-25,"1997 Octad/Pennsylvania State Championships",1997-octadpennsylvania-state-championships
1018,1997-06-07,1997-06-07,"1997 Northeast Freestyle/DDC Championships",1997-northeast-freestyleddc-championships
1019,1997-06-14,1997-06-14,"1997 Connecticut State Frisbee Championship",1997-connecticut-state-frisbee-championship
1020,2004-12-11,2004-12-12,"2004 Torneo of the Hat",2004-torneo-of-the-hat
1021,2005-02-18,2005-02-21,"2005 Puerto Rico Winter Jam",2005-puerto-rico-winter-jam
1022,1997-06-21,1997-06-22,"1997 Santa Cruz Beach Classic",1997-santa-cruz-beach-classic
1023,2005-09-17,2005-09-18,"2005 Aloha Beach Festival",2005-aloha-beach-festival
1024,1997-06-20,1997-06-21,"1997 Minnesota States",1997-minnesota-states
1025,2004-12-25,2004-12-25,"2004 Israeli Freestyle Indoors Championships",2004-israeli-freestyle-indoors-championships
1026,1997-06-27,1997-06-27,"1997 LaMirada Spring 1-Day Overall",1997-lamirada-spring-1-day-overall
1027,1997-07-19,1997-07-19,"1997  - NY Tourney - New York",1997-ny-tourney-new-york
1028,1994-07-19,1994-07-23,"1994 Swedish Championships",1994-swedish-championships
1029,1994-07-23,1994-07-23,"1994 Rhode Island States",1994-rhode-island-states
1030,1994-07-23,1994-07-23,"1994 German Open",1994-german-open
1031,1994-07-30,1994-07-31,"1994 FPA Midwest Open",1994-fpa-midwest-open
1032,1994-08-13,1994-08-14,"1994 Oklahoma State Championships",1994-oklahoma-state-championships
1033,1994-08-19,1994-08-21,"1994 US Open Flying Disc Championships",1994-us-open-flying-disc-championships
1034,1994-09-02,1994-09-04,"1994 FPA World Championships",1994-fpa-world-championships
1035,1994-09-03,1994-09-04,"1994 Alabama States",1994-alabama-states
1036,1994-09-10,1994-09-11,"1994 Wisconsin States",1994-wisconsin-states
1037,2001-08-25,2001-08-26,"2001 Oregon State Overall Disc Championships",2001-oregon-state-overall-disc-championships
1038,2001-09-09,2001-09-09,"2001 Jammers Championships",2001-jammers-championships
1039,2001-09-23,2001-09-24,"2001 Tennessee State Overall Disc Championships",2001-tennessee-state-overall-disc-championships
1040,2001-09-29,2001-09-30,"2001 Manpico Open",2001-manpico-open
1041,2001-10-06,2001-10-07,"2001 Cappello Tournament",2001-cappello-tournament
1042,2001-11-10,2001-11-11,"2001 AZ States",2001-az-states
1043,2001-10-19,2001-10-21,"2001 FPA World Freestyle Frisbee Championships",2001-fpa-world-freestyle-frisbee-championships
1044,2005-03-20,2005-03-21,"2005 Costa Brava Freestyle Challenge",2005-costa-brava-freestyle-challenge
1045,2005-02-04,2005-02-06,"2005 Mardi Gras freestyle jam",2005-mardi-gras-freestyle-jam
1046,1997-07-19,1997-07-20,"1997 Disc-a-palooza",1997-disc-a-palooza
1047,1997-07-21,1997-07-26,"1997 Swedisc Open",1997-swedisc-open
1048,2005-03-24,2005-03-27,"2005 Paganello Freestyle Challenge",2005-paganello-freestyle-challenge
1049,2005-08-13,2005-08-14,"2005 30th Annual Wisconsin State Overall Championships",2005-30th-annual-wisconsin-state-overall-championships
1051,2005-04-23,2005-04-24,"2005 The Jammers",2005-the-jammers
1052,2005-07-09,2005-07-10,"2005 Nass Freestyle Challenge",2005-nass-freestyle-challenge
1053,2005-07-17,2005-07-18,"2005 Santa Cruz Beach Classic",2005-santa-cruz-beach-classic
1054,2005-04-09,2005-04-10,"2005 Virginia States",2005-virginia-states
1055,2005-09-24,2005-09-25,"2005 Frischstylers Jam",2005-frischstylers-jam
1056,2005-07-01,2005-07-03,"2005 Rototom SunSplash Frisbee Freestyle",2005-rototom-sunsplash-frisbee-freestyle
1057,2000-02-20,2000-02-20,"2000 NE Indoor Championships",2000-ne-indoor-championships
1058,2000-02-20,2000-02-20,"2000 Wintertime Open",2000-wintertime-open
1059,2000-04-08,2000-04-09,"2000 Virginia States",2000-virginia-states
1060,2000-04-12,2000-04-14,"2000 Paganello",2000-paganello
1061,2000-05-14,2000-05-15,"2000 IFO Over Cypress Gardens",2000-ifo-over-cypress-gardens
1062,2000-05-20,2000-05-21,"2000 East European Freestyle Contest (JKC II)",2000-east-european-freestyle-contest-jkc-ii
1063,2000-06-04,2000-06-04,"2000 Puerto Rico Open",2000-puerto-rico-open
1064,2000-06-10,2000-06-11,"2000 Minnesota States",2000-minnesota-states
1065,2000-06-10,2000-06-11,"2000 Santa Cruz Beach Classic IV",2000-santa-cruz-beach-classic-iv
1066,2000-06-17,2000-06-18,"2000 Bridgeport Frisbie Festival",2000-bridgeport-frisbie-festival
